ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
US46817M1071,BMFX6P4,Jackson Financial Incorporation Class A,USD,74138,1.005336,United States,66.02,Financials,Financial Services
US9129091081,2824770,United States Steel Corporation,USD,82191,0.693843,United States,41.1,Materials,Metals & Mining
US72651A2078,BDGHN95,Plains GP Holdings LP Class A,USD,157814,0.615877,United States,19,Energy,Oil Gas & Consumable Fuels
US5502411037,BMDH249,Lumen Technologies Inc.,USD,2035062,0.560115,United States,1.34,Communication Services,Diversified Telecommunication Services
US71377A1034,BYVYD43,Performance Food Group Co,USD,37127,0.531517,United States,69.7,Consumer Staples,Consumer Staples Distribution & Retail
US91529Y1064,2433842,Unum Group,USD,47360,0.51926,United States,53.38,Financials,Insurance
US0427351004,2051404,Arrow Electronics Inc.,USD,19196,0.500421,United States,126.92,Information Technology,Electronic Equipment Instruments & Components
US3205171057,2341484,First Horizon Corporation,USD,163260,0.493944,United States,14.73,Financials,Banks
US7593516047,2731193,Reinsurance Group of America Incorporated,USD,12544,0.493014,United States,191.35,Financials,Insurance
US69318G1067,B7F4TJ7,PBF Energy Inc. Class A,USD,39077,0.489284,United States,60.96,Energy,Oil Gas & Consumable Fuels
US2787681061,B2NC471,EchoStar Corporation Class A,USD,170801,0.473959,United States,13.51,Communication Services,Media
SG9999000020,2353058,Flex Ltd.,USD,75598,0.443935,United States,28.59,Information Technology,Electronic Equipment Instruments & Components
US55616P1049,2345022,Macy's Inc.,USD,114078,0.431371,United States,18.41,Consumer Discretionary,Broadline Retail
US9814751064,2469450,World Kinect Corporation,USD,78194,0.421597,United States,26.25,Energy,Oil Gas & Consumable Fuels
US88033G4073,B8DMK08,Tenet Healthcare Corporation,USD,19527,0.403927,United States,100.71,Health Care,Health Care Providers & Services
US68622V1061,BLDC8J4,Organon & Co.,USD,108579,0.398534,United States,17.87,Health Care,Pharmaceuticals
US6081901042,2598699,Mohawk Industries Inc.,USD,15827,0.396958,United States,122.11,Consumer Discretionary,Household Durables
US8894781033,2896092,Toll Brothers Inc.,USD,15541,0.392626,United States,123,Consumer Discretionary,Household Durables
US5367971034,2515030,Lithia Motors Inc.,USD,6881,0.390562,United States,276.34,Consumer Discretionary,Specialty Retail
US48020Q1076,2040640,Jones Lang LaSalle Incorporated,USD,9348,0.377214,United States,196.46,Real Estate,Real Estate Management & Development
US27579R1041,2487407,East West Bancorp Inc.,USD,24000,0.369666,United States,74.99,Financials,Banks
US9633201069,2960384,Whirlpool Corporation,USD,15604,0.367392,United States,114.63,Consumer Discretionary,Household Durables
US9120081099,BYVFC94,US Foods Holding Corp.,USD,35568,0.364767,United States,49.93,Consumer Staples,Consumer Staples Distribution & Retail
US87162W1009,2002554,TD SYNNEX Corporation,USD,14894,0.35872,United States,117.26,Information Technology,Electronic Equipment Instruments & Components
US0538071038,2066505,Avnet Inc.,USD,33397,0.330155,United States,48.13,Information Technology,Electronic Equipment Instruments & Components
US2003401070,2212870,Comerica Incorporated,USD,30386,0.329286,United States,52.76,Financials,Banks
US37247D1063,B011WL6,Genworth Financial Inc. Class A,USD,249514,0.324922,United States,6.34,Financials,Insurance
US0138721065,BYNF418,Alcoa Corporation,USD,43845,0.323753,United States,35.95,Materials,Metals & Mining
US9478901096,2945143,Webster Financial Corporation,USD,32792,0.323433,United States,48.02,Financials,Banks
US00751Y1064,2822019,Advance Auto Parts Inc.,USD,19586,0.318856,United States,79.26,Consumer Discretionary,Specialty Retail
US9026811052,2910118,UGI Corporation,USD,61754,0.317103,United States,25,Utilities,Gas Utilities
US47233W1099,BG0Q4Z2,Jefferies Financial Group Inc.,USD,34940,0.313832,United States,43.73,Financials,Capital Markets
US9576381092,B0CCGJ4,Western Alliance Bancorp,USD,25211,0.31168,United States,60.19,Financials,Banks
US5002551043,2496113,Kohl's Corporation,USD,58566,0.309033,United States,25.69,Consumer Discretionary,Broadline Retail
PR7331747001,B86QM90,Popular Inc.,USD,17256,0.301623,United States,85.1,Financials,Banks
US9897011071,2989828,Zions Bancorporation N.A.,USD,34929,0.299313,United States,41.72,Financials,Banks
US8760301072,BF09HX3,Tapestry Inc.,USD,33215,0.293562,United States,43.03,Consumer Discretionary,Textiles Apparel & Luxury Goods
US6802231042,2659109,Old Republic International Corporation,USD,46429,0.29229,United States,30.65,Financials,Insurance
BMG491BT1088,B28XP76,Invesco Ltd.,USD,85695,0.290953,United States,16.53,Financials,Capital Markets
US23355L1061,BYXD7B3,DXC Technology Co.,USD,65774,0.282355,United States,20.9,Information Technology,It Services
US2017231034,2213260,Commercial Metals Company,USD,23864,0.28145,United States,57.42,Materials,Metals & Mining
US05329W1027,2732635,AutoNation Inc.,USD,8710,0.280499,United States,156.79,Consumer Discretionary,Specialty Retail
US64828T2015,BRJ9GW0,Rithm Capital Corp.,USD,126412,0.27964,United States,10.77,Financials,Mortgage Real Estate Investment Trusts (Reits)
US7835491082,2760669,Ryder System Inc.,USD,11555,0.279155,United States,117.62,Industrials,Ground Transportation
US8851601018,2889876,Thor Industries Inc.,USD,11978,0.273285,United States,111.08,Consumer Discretionary,Automobiles
US7436061052,2310257,Prosperity Bancshares Inc.(R),USD,21154,0.272821,United States,62.79,Financials,Banks
US95082P1057,2416973,WESCO International Inc.,USD,7794,0.272468,United States,170.2,Industrials,Trading Companies & Distributors
US6806652052,2658526,Olin Corporation,USD,22442,0.271179,United States,58.83,Materials,Chemicals
US87724P1066,B832462,Taylor Morrison Home Corporation,USD,22301,0.270437,United States,59.04,Consumer Discretionary,Household Durables
US7587501039,2730082,Regal Rexnord Corporation,USD,7622,0.270431,United States,172.74,Industrials,Electrical Equipment
US68268W1036,BYSZB89,OneMain Holdings Inc.,USD,27052,0.270208,United States,48.63,Financials,Consumer Finance
US29084Q1004,2474164,EMCOR Group Inc.,USD,3668,0.269061,United States,357.13,Industrials,Construction & Engineering
US05550J1016,BFZNZF8,BJ's Wholesale Club Holdings Inc.,USD,17155,0.267899,United States,76.03,Consumer Staples,Consumer Staples Distribution & Retail
US35909D1090,BP0V999,Frontier Communications Parent Inc.,USD,55238,0.264356,United States,23.3,Communication Services,Diversified Telecommunication Services
US08579W1036,B8BR3H3,Berry Global Group Inc,USD,21726,0.263285,United States,59,Materials,Containers & Packaging
US17888H1032,BMG9GG2,Civitas Resources Inc.,USD,16566,0.25557,United States,75.11,Energy,Oil Gas & Consumable Fuels
US31847R1023,B4NFPK4,First American Financial Corporation,USD,20350,0.251835,United States,60.25,Financials,Insurance
US6936561009,B3V9F12,PVH Corp.,USD,11395,0.249006,United States,106.39,Consumer Discretionary,Textiles Apparel & Luxury Goods
US87161C5013,BMH4NJ8,Synovus Financial Corp.,USD,31722,0.247072,United States,37.92,Financials,Banks
US00912X3026,B3XS562,Air Lease Corporation Class A,USD,23800,0.245254,United States,50.17,Industrials,Trading Companies & Distributors
US3825501014,2378200,Goodyear Tire & Rubber Company,USD,90080,0.243119,United States,13.14,Consumer Discretionary,Automobile Components
US65336K1034,2949758,Nexstar Media Group Inc.,USD,7030,0.242958,United States,168.26,Communication Services,Media
US72346Q1040,2675097,Pinnacle Financial Partners Inc.,USD,14363,0.239756,United States,81.27,Financials,Banks
US62482R1077,BGHKHS1,Mr. Cooper Group Inc.,USD,15201,0.237103,United States,75.94,Financials,Financial Services
US3025201019,2041308,F.N.B. Corporation,USD,83590,0.233157,United States,13.58,Financials,Banks
US9290891004,BKWQ2N2,Voya Financial Inc.,USD,15849,0.230413,United States,70.78,Financials,Financial Services
US8404411097,BNFX071,SouthState Corporation,USD,13952,0.229486,United States,80.08,Financials,Banks
US0010841023,2010278,AGCO Corporation,USD,9139,0.229066,United States,122.03,Industrials,Machinery
US8606301021,2849234,Stifel Financial Corp,USD,14641,0.228639,United States,76.03,Financials,Capital Markets
US6267551025,BCZWJ63,Murphy USA Inc.,USD,2630,0.223219,United States,413.22,Consumer Discretionary,Specialty Retail
US56418H1005,2562490,ManpowerGroup Inc.,USD,14700,0.222284,United States,73.62,Industrials,Professional Services
US09739D1000,B9BP4R1,Boise Cascade Co.,USD,7251,0.222135,United States,149.15,Industrials,Trading Companies & Distributors
US97650W1080,2425258,Wintrust Financial Corporation,USD,10792,0.221754,United States,100.04,Financials,Banks
US3886891015,B2Q8249,Graphic Packaging Holding Company,USD,37404,0.220109,United States,28.65,Materials,Containers & Packaging
US59001A1025,2601326,Meritage Homes Corporation,USD,6600,0.219638,United States,162.02,Consumer Discretionary,Household Durables
US48666K1097,2485070,KB Home,USD,16021,0.218566,United States,66.42,Consumer Discretionary,Household Durables
US3989051095,2121352,Group 1 Automotive Inc.,USD,3844,0.217915,United States,276,Consumer Discretionary,Specialty Retail
US03674X1063,BFD2WR8,Antero Resources Corporation,USD,36380,0.216399,United States,28.96,Energy,Oil Gas & Consumable Fuels
US5763231090,2155306,MasTec Inc.,USD,11416,0.215676,United States,91.98,Industrials,Construction & Engineering
US1475281036,2179414,Casey's General Stores Inc.,USD,3369,0.215332,United States,311.18,Consumer Staples,Consumer Staples Distribution & Retail
US7234841010,2048804,Pinnacle West Capital Corporation,USD,14290,0.214323,United States,73.02,Utilities,Electric Utilities
US03852U1060,BH3XG17,Aramark,USD,32872,0.213088,United States,31.56,Consumer Discretionary,Hotels Restaurants & Leisure
US5463471053,2535243,Louisiana-Pacific Corporation,USD,12548,0.207939,United States,80.68,Materials,Paper & Forest Products
US28414H1032,BF5L3T2,Elanco Animal Health Inc.,USD,64855,0.206343,United States,15.49,Health Care,Pharmaceuticals
US4128221086,2411053,Harley-Davidson Inc.,USD,23765,0.205745,United States,42.15,Consumer Discretionary,Automobiles
US00402L1070,BN7K304,Academy Sports and Outdoors Inc.,USD,15813,0.203841,United States,62.76,Consumer Discretionary,Specialty Retail
US0434361046,2855855,Asbury Automotive Group Inc.,USD,4363,0.199447,United States,222.56,Consumer Discretionary,Specialty Retail
US6512291062,2635701,Newell Brands Inc,USD,129817,0.198647,United States,7.45,Consumer Discretionary,Household Durables
US19247G1076,BNG8Z81,Coherent Corp.,USD,16770,0.198301,United States,57.57,Information Technology,Electronic Equipment Instruments & Components
US9111631035,2895163,United Natural Foods Inc.,USD,91843,0.197887,United States,10.49,Consumer Staples,Consumer Staples Distribution & Retail
US6800331075,2658441,Old National Bancorp,USD,57722,0.197402,United States,16.65,Financials,Banks
US78442P1066,2101967,SLM Corp,USD,45345,0.196147,United States,21.06,Financials,Consumer Finance
US58463J3041,B0JL5L9,Medical Properties Trust Inc.,USD,225124,0.195595,United States,4.23,Real Estate,Health Care Reits
US5528481030,2548616,MGIC Investment Corporation,USD,46242,0.195184,United States,20.55,Financials,Financial Services
US5341871094,2516378,Lincoln National Corp,USD,30885,0.194878,United States,30.72,Financials,Insurance
US78454L1008,2764188,SM Energy Company,USD,18169,0.194206,United States,52.04,Energy,Oil Gas & Consumable Fuels
US55306N1046,2404871,MKS Instruments Inc.,USD,7333,0.193243,United States,128.3,Information Technology,Semiconductors & Semiconductor Equipment
US12740C1036,BMCS168,Cadence Bank,USD,34130,0.192641,United States,27.48,Financials,Banks
US1468691027,BYQHPG3,Carvana Co. Class A,USD,11258,0.190631,United States,82.44,Consumer Discretionary,Specialty Retail
US34965K1079,BRXYZ57,Fortrea Holdings Inc.,USD,24381,0.190496,United States,38.04,Health Care,Life Sciences Tools & Services
US5526901096,2547323,MDU Resources Group Inc.,USD,37178,0.190143,United States,24.9,Industrials,Construction & Engineering
US50155Q1004,BP6JW21,Kyndryl Holdings Incorporation,USD,42635,0.188366,United States,21.51,Information Technology,It Services
US9837931008,B6Z1355,XPO Inc.,USD,7491,0.188282,United States,122.37,Industrials,Ground Transportation
US4571871023,B7K24P7,Ingredion Incorporated,USD,7961,0.188093,United States,115.03,Consumer Staples,Food Products
US06417N1037,BZ56Q65,Bank OZK,USD,20926,0.188001,United States,43.74,Financials,Banks
US1170431092,2149309,Brunswick Corporation,USD,9767,0.187331,United States,93.38,Consumer Discretionary,Leisure Products
US10922N1037,BF429K9,Brighthouse Financial Inc.,USD,17962,0.187234,United States,50.75,Financials,Insurance
US3448491049,2980906,Foot Locker Inc.,USD,37212,0.186037,United States,24.34,Consumer Discretionary,Specialty Retail
BMG3198U1027,BFWGXR8,Essent Group Ltd.,USD,16032,0.185886,United States,56.45,Financials,Financial Services
US6882392011,2663520,Oshkosh Corp,USD,7209,0.184511,United States,124.61,Industrials,Machinery
US0082521081,2127899,Affiliated Managers Group Inc.,USD,5469,0.184101,United States,163.89,Financials,Capital Markets
US90278Q1085,BMQ60Q1,UFP Industries Inc.,USD,7484,0.181712,United States,118.21,Industrials,Building Products
BMG0692U1099,2677606,Axis Capital Holdings Limited,USD,13633,0.181536,United States,64.83,Financials,Insurance
BMG7496G1033,2728429,RenaissanceRe Holdings Ltd.,USD,3903,0.179669,United States,224.12,Financials,Insurance
US9598021098,B1F76F9,Western Union Company,USD,65077,0.179648,United States,13.44,Financials,Financial Services
US0528001094,2064253,Autoliv Inc.,USD,7371,0.178544,United States,117.93,Consumer Discretionary,Automobile Components
US70932M1071,BGYTGH3,PennyMac Financial Services Inc.,USD,9877,0.178364,United States,87.92,Financials,Financial Services
US4470111075,B0650B9,Huntsman Corporation,USD,33633,0.178161,United States,25.79,Materials,Chemicals
US4101201097,2415497,Hancock Whitney Corporation,USD,19744,0.177422,United States,43.75,Financials,Banks
US0454871056,2055718,Associated Banc-Corp,USD,41062,0.176946,United States,20.98,Financials,Banks
US8175651046,2797560,Service Corporation International,USD,12003,0.176891,United States,71.75,Consumer Discretionary,Diversified Consumer Services
US9099071071,2905794,United Bankshares Inc.,USD,25219,0.176324,United States,34.04,Financials,Banks
US77311W1018,BMD6Y84,Rocket Companies Inc. Class A,USD,65362,0.175467,United States,13.07,Financials,Financial Services
US0185811082,2762030,Bread Financial Holdings Inc.,USD,23584,0.172498,United States,35.61,Financials,Consumer Finance
US1271903049,2159267,CACI International Inc Class A,USD,2274,0.172388,United States,369.08,Industrials,Professional Services
US9197941076,2935326,Valley National Bancorp,USD,111312,0.170788,United States,7.47,Financials,Banks
US9182041080,2928683,V.F. Corporation,USD,59972,0.170359,United States,13.83,Consumer Discretionary,Textiles Apparel & Luxury Goods
US74319R1014,BLFGN66,PROG Holdings Inc.,USD,25076,0.170019,United States,33.01,Financials,Consumer Finance
US85571B1052,B3PQ520,Starwood Property Trust Inc.,USD,42034,0.169479,United States,19.63,Financials,Mortgage Real Estate Investment Trusts (Reits)
US89055F1030,BZ0P3W2,TopBuild Corp.,USD,1884,0.168672,United States,435.88,Consumer Discretionary,Household Durables
US00123Q1040,BYYHJL8,AGNC Investment Corp.,USD,84826,0.168132,United States,9.65,Financials,Mortgage Real Estate Investment Trusts (Reits)
US76118Y1047,BFD1TJ6,Resideo Technologies Inc.,USD,37356,0.167421,United States,21.82,Industrials,Building Products
US7502361014,2173911,Radian Group Inc.,USD,26106,0.166922,United States,31.13,Financials,Financial Services
US75281A1097,2523334,Range Resources Corporation,USD,22862,0.16501,United States,35.14,Energy,Oil Gas & Consumable Fuels
BMG0585R1060,B00V7H8,Assured Guaranty Ltd.,USD,9618,0.164619,United States,83.33,Financials,Insurance
US6907321029,2665128,Owens & Minor Inc.,USD,29866,0.163727,United States,26.69,Health Care,Health Care Providers & Services
US8454671095,2828619,Southwestern Energy Company,USD,105162,0.162432,United States,7.52,Energy,Oil Gas & Consumable Fuels
US87265H1095,B92CQF3,Tri Pointe Homes Inc.,USD,21399,0.162362,United States,36.94,Consumer Discretionary,Household Durables
US0736851090,B02TS99,Beacon Roofing Supply Inc.,USD,7848,0.162292,United States,100.68,Industrials,Trading Companies & Distributors
US2298991090,2239556,Cullen/Frost Bankers Inc.,USD,7177,0.162244,United States,110.06,Financials,Banks
BMG812761002,B3CTNK6,Signet Jewelers Limited,USD,7444,0.162133,United States,106.04,Consumer Discretionary,Specialty Retail
US7310681025,2692933,Polaris Inc.,USD,8179,0.161846,United States,96.34,Consumer Discretionary,Leisure Products
US85208M1027,BCGCR79,Sprouts Farmers Market Inc.,USD,12569,0.161533,United States,62.57,Consumer Staples,Consumer Staples Distribution & Retail
US0476491081,BDHF495,Atkore Inc,USD,4375,0.161319,United States,179.52,Industrials,Electrical Equipment
US00508Y1029,2818461,Acuity Brands Inc.,USD,2921,0.158691,United States,264.5,Industrials,Electrical Equipment
US2005251036,2213204,Commerce Bancshares Inc.,USD,14392,0.155372,United States,52.56,Financials,Banks
US2270461096,B0T7Z62,Crocs Inc.,USD,5572,0.153794,United States,134.38,Consumer Discretionary,Textiles Apparel & Luxury Goods
US5770811025,2572303,Mattel Inc.,USD,38268,0.153351,United States,19.51,Consumer Discretionary,Leisure Products
US1638511089,BZ0CTP8,Chemours Co.,USD,27292,0.15298,United States,27.29,Materials,Chemicals
CH0048265513,B3KFWW1,Transocean Ltd.,USD,113364,0.152282,United States,6.54,Energy,Energy Equipment & Services
US12621E1038,2657750,CNO Financial Group Inc.,USD,27673,0.152103,United States,26.76,Financials,Insurance
US3434121022,2696838,Fluor Corporation,USD,17737,0.151919,United States,41.7,Industrials,Construction & Engineering
GB00BJT16S69,BJT16S6,Tronox Holdings Plc,USD,43815,0.151461,United States,16.83,Materials,Chemicals
US4884011002,B52KRV2,Kemper Corp,USD,12841,0.151393,United States,57.4,Financials,Insurance
